tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
0,0.000000,0.00
100,0.517520,0.00
200,0.530710,0.00
300,0.527639,0.00
400,0.535041,0.00
500,0.521962,0.00
600,0.517664,0.00
700,0.529986,0.00
800,0.557883,0.00
900,0.532201,0.00
1000,0.527427,0.00
1100,0.544868,0.00
1200,0.542881,0.00
1300,0.543724,0.00
1400,0.546472,0.00
1500,0.532910,0.00
1600,0.561993,0.00
1700,0.566214,0.00
1800,0.523766,0.00
1900,0.525621,0.00
2000,0.563650,0.00
2100,0.528974,0.00
2200,0.546549,0.00
2300,0.539211,0.00
2400,0.523314,0.00
2500,0.541240,0.00
2600,0.558414,0.00
2700,0.526083,0.00
2800,0.544848,0.00
2900,0.555275,0.00
3000,0.549791,0.00
3100,0.553159,0.00
3200,0.567455,0.00
3300,0.544310,0.00
3400,0.536077,0.00
3500,0.536021,0.00
3600,0.520210,0.00
3700,0.546998,0.00
3800,0.548964,0.00
3900,0.552917,0.00
4000,0.537437,0.00
4100,0.551363,0.00
4200,0.532211,0.00
4300,0.548055,0.00
4400,0.548773,0.00
4500,0.538554,0.00
4600,0.521467,0.00
4700,0.539105,0.00
4800,0.529959,0.00
4900,0.554712,0.00
5000,0.559688,0.00
5100,0.540721,0.00
5200,0.551719,0.00
5300,0.548859,0.00
5400,0.527230,0.00
5500,0.544227,0.00
5600,0.553222,0.00
5700,0.541824,0.00
5800,0.554863,0.00
5900,0.562307,0.00
6000,0.527658,0.00
6100,0.536608,0.00
6200,0.557765,0.00
6300,0.530958,0.00
6400,0.530024,0.00
6500,0.556838,0.00
6600,0.539909,0.00
6700,0.548398,0.00
6800,0.586500,0.00
6900,0.531440,0.00
7000,0.551079,0.00
7100,0.557184,0.00
7200,0.545155,0.00
7300,0.536680,0.00
7400,0.541002,0.00
7500,0.528568,0.00
7600,0.537901,0.00
7700,0.552795,0.00
7800,0.526252,0.00
7900,0.528040,0.00
8000,0.543413,0.00
8100,0.529353,0.00
8200,0.553662,0.00
8300,0.551202,0.00
8400,0.528818,0.00
8500,0.532479,0.00
8600,0.550521,0.00
8700,0.534966,0.00
8800,0.536848,0.00
8900,0.557028,0.00
9000,0.541444,0.00
9100,0.554786,0.00
9200,0.563831,0.00
9300,0.547635,0.00
9400,0.546049,0.00
9500,0.591324,0.00
9600,0.570211,0.00
9700,0.549843,0.00
9800,0.554076,0.00
9900,0.537216,0.00
10000,0.541810,0.00
10100,0.545971,0.00
10200,0.545617,0.00
10300,0.535567,0.00
10400,0.546110,0.00
10500,0.545174,0.00
10600,0.545354,0.00
10700,0.552964,0.00
10800,0.533561,0.00
10900,0.545816,0.00
11000,0.544001,0.00
11100,0.543319,0.00
11200,0.530169,0.00
11300,0.543183,0.00
11400,0.522055,0.00
11500,0.540064,0.00
11600,0.544173,0.00
11700,0.540656,0.00
11800,0.537458,0.00
11900,0.543754,0.00
12000,0.544908,0.00
12100,0.541636,0.00
12200,0.540980,0.00
12300,0.537891,0.00
12400,0.534219,0.00
12500,0.569874,0.00
12600,0.541233,0.00
12700,0.556574,0.00
12800,0.554536,0.00
12900,0.537387,0.00
13000,0.564236,0.00
13100,0.573825,0.00
13200,0.547575,0.00
13300,0.548761,0.00
13400,0.551711,0.00
13500,0.535823,0.00
13600,0.536065,0.00
13700,0.552601,0.00
13800,0.539853,0.00
13900,0.551748,0.00
14000,0.551062,0.00
14100,0.529116,0.00
14200,0.545857,0.00
14300,0.547904,0.00
14400,0.531214,0.00
14500,0.539825,0.00
14600,0.552077,0.00
14700,0.528123,0.00
14800,0.555700,0.00
14900,0.547211,0.00
15000,0.539157,0.00
15100,0.539791,0.00
15200,0.524864,0.00
15300,0.525956,0.00
15400,0.538844,0.00
15500,0.552464,0.00
15600,0.539093,0.00
15700,0.549909,0.00
15800,0.556563,0.00
15900,0.539994,0.00
16000,0.537344,0.00
16100,0.550211,0.00
16200,0.532885,0.00
16300,0.544369,0.00
16400,0.525689,0.00
16500,0.533135,0.00
16600,0.528709,0.00
16700,0.547510,0.00
16800,0.541559,0.00
16900,0.563744,0.00
17000,0.565620,0.00
17100,0.554191,0.00
17200,0.558150,0.00
17300,0.546148,0.00
17400,0.536446,0.00
17500,0.542565,0.00
17600,0.549473,0.00
17700,0.534496,0.00
17800,0.543183,0.00
17900,0.556041,0.00
18000,0.541004,0.00
18100,0.543701,0.00
18200,0.556190,0.00
18300,0.544943,0.00
18400,0.536347,0.00
18500,0.562081,0.00
18600,0.552593,0.00
18700,0.553846,0.00
18800,0.557790,0.00
18900,0.545104,0.00
19000,0.560099,0.00
19100,0.556037,0.00
19200,0.528092,0.00
19300,0.539837,0.00
19400,0.570302,0.00
19500,0.542651,0.00
19600,0.529475,0.00
19700,0.556288,0.00
19800,0.526063,0.00
19900,0.544341,0.00
20000,0.550709,0.00
20100,0.537923,0.00
20200,0.551647,0.00
20300,0.543973,0.00
20400,0.542759,0.00
20500,0.539867,0.00
20600,0.546918,0.00
20700,0.522969,0.00
20800,0.553691,0.00
20900,0.554075,0.00
21000,0.531058,0.00
21100,0.535228,0.00
21200,0.546374,0.00
21300,0.549208,0.00
21400,0.554285,0.00
21500,0.540657,0.00
21600,0.548240,0.00
21700,0.552689,0.00
21800,0.548679,0.00
21900,0.548057,0.00
22000,0.541122,0.00
22100,0.549207,0.00
22200,0.533380,0.00
22300,0.543377,0.00
22400,0.566802,0.00
22500,0.544132,0.00
22600,0.537107,0.00
22700,0.556398,0.00
22800,0.547435,0.00
22900,0.539540,0.00
23000,0.558193,0.00
23100,0.553591,0.00
23200,0.551414,0.00
23300,0.532757,0.00
23400,0.515619,0.00
23500,0.529892,0.00
23600,0.557931,0.00
23700,0.528543,0.00
23800,0.539227,0.00
23900,0.535773,0.00
24000,0.557873,0.00
24100,0.545089,0.00
24200,0.539671,0.00
24300,0.537678,0.00
24400,0.535518,0.00
24500,0.543592,0.00
24600,0.542387,0.00
24700,0.539586,0.00
24800,0.533576,0.00
24900,0.531764,0.00
25000,0.534243,0.00
25100,0.541764,0.00
25200,0.539263,0.00
25300,0.560899,0.00
25400,0.546685,0.00
25500,0.528974,0.00
25600,0.554800,0.00
25700,0.546979,0.00
25800,0.550420,0.00
25900,0.547385,0.00
26000,0.548537,0.00
26100,0.537404,0.00
26200,0.533436,0.00
26300,0.529921,0.00
26400,0.540336,0.00
26500,0.544163,0.00
26600,0.545302,0.00
26700,0.551981,0.00
26800,0.536167,0.00
26900,0.551474,0.00
27000,0.541761,0.00
27100,0.552596,0.00
27200,0.540650,0.00
27300,0.536968,0.00
27400,0.548336,0.00
27500,0.556457,0.00
27600,0.549266,0.00
27700,0.553505,0.00
27800,0.577005,0.00
27900,0.531800,0.00
28000,0.547621,0.00
28100,0.537227,0.00
28200,0.539220,0.00
28300,0.556679,0.00
28400,0.557947,0.00
28500,0.537145,0.00
28600,0.540688,0.00
28700,0.562463,0.00
28800,0.534528,0.00
28900,0.547542,0.00
29000,0.569250,0.00
29100,0.553952,0.00
29200,0.558481,0.00
29300,0.560175,0.00
29400,0.542735,0.00
29500,0.537389,0.00
29600,0.557020,0.00
29700,0.538712,0.00
29800,0.547989,0.00
29900,0.560758,0.00
