tick,avg_avg_hydrolytic_resistance,std_avg_hydrolytic_resistance,min_avg_hydrolytic_resistance,max_avg_hydrolytic_resistance,avg_pct_blocks_in_assemblies,std_pct_blocks_in_assemblies,min_pct_blocks_in_assemblies,max_pct_blocks_in_assemblies
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.516294,0.01893483338541255,0.490357,0.535579,0.0,0.0,0.0,0.0
200,0.5359784999999999,0.01321559983504345,0.521875,0.553069,0.0,0.0,0.0,0.0
300,0.529244,0.016244215770544277,0.507599,0.545882,0.0,0.0,0.0,0.0
400,0.53997425,0.025758515321798625,0.507535,0.569041,0.0,0.0,0.0,0.0
500,0.53974875,0.01996344616835145,0.521962,0.558603,0.0,0.0,0.0,0.0
600,0.5304595,0.01726341280473436,0.515395,0.551983,0.0,0.0,0.0,0.0
700,0.54516525,0.018001635951120303,0.529986,0.570885,0.0,0.0,0.0,0.0
800,0.54927825,0.013318724597973565,0.53317,0.562263,0.0,0.0,0.0,0.0
900,0.534023,0.01873502682143798,0.512674,0.558365,0.0,0.0,0.0,0.0
1000,0.544703,0.021408572005935707,0.527427,0.574152,0.0,0.0,0.0,0.0
1100,0.54493625,0.01530982974812802,0.525124,0.562394,0.0,0.0,0.0,0.0
1200,0.5346655,0.005609353230691243,0.530849,0.542881,0.0,0.0,0.0,0.0
1300,0.537709,0.016295435127666895,0.518817,0.556809,0.0,0.0,0.0,0.0
1400,0.56027175,0.019775670412150403,0.544024,0.586858,0.0,0.0,0.0,0.0
1500,0.539936,0.016749769510851966,0.519618,0.555286,0.0,0.0,0.0,0.0
1600,0.55269225,0.0220965232766756,0.519678,0.566441,0.0,0.0,0.0,0.0
1700,0.55691275,0.007312691040239581,0.549835,0.566214,0.0,0.0,0.0,0.0
1800,0.5414937499999999,0.01673907353818207,0.523766,0.559268,0.0,0.0,0.0,0.0
1900,0.543524,0.014931698251259517,0.525621,0.556978,0.0,0.0,0.0,0.0
2000,0.55627575,0.019466420975190427,0.52865,0.573958,0.0,0.0,0.0,0.0
2100,0.5367045000000001,0.016137003284377154,0.52175,0.559013,0.0,0.0,0.0,0.0
2200,0.5412144999999999,0.01326492592013487,0.522649,0.553627,0.0,0.0,0.0,0.0
2300,0.54357075,0.012941681739634945,0.527894,0.557888,0.0,0.0,0.0,0.0
2400,0.53134275,0.011350703719006427,0.519865,0.541275,0.0,0.0,0.0,0.0
2500,0.5425185,0.018973348685283078,0.516305,0.558841,0.0,0.0,0.0,0.0
2600,0.54469575,0.020183720046529227,0.520795,0.56412,0.0,0.0,0.0,0.0
2700,0.53023075,0.013344951514211955,0.513187,0.541834,0.0,0.0,0.0,0.0
2800,0.5484315,0.02255563111508967,0.518681,0.57113,0.0,0.0,0.0,0.0
2900,0.55584375,0.02762239848836448,0.521106,0.588641,0.0,0.0,0.0,0.0
3000,0.5397507500000001,0.025958832965229123,0.501264,0.558154,0.0,0.0,0.0,0.0
3100,0.55044525,0.024737383860262994,0.516493,0.575754,0.0,0.0,0.0,0.0
3200,0.56026825,0.02517618209571629,0.522919,0.57544,0.0,0.0,0.0,0.0
3300,0.5431057499999999,0.009357562089027221,0.530634,0.553334,0.0,0.0,0.0,0.0
3400,0.5488540000000001,0.01641061077473959,0.533776,0.566614,0.0,0.0,0.0,0.0
3500,0.551907,0.020561703933931797,0.532474,0.572271,0.0,0.0,0.0,0.0
3600,0.53899025,0.020417140582935072,0.52021,0.557632,0.0,0.0,0.0,0.0
3700,0.5472235,0.015151091852844568,0.525938,0.559425,0.0,0.0,0.0,0.0
3800,0.55371725,0.01583544089218863,0.533367,0.566751,0.0,0.0,0.0,0.0
3900,0.5506592499999999,0.010457980441589439,0.53536,0.558577,0.0,0.0,0.0,0.0
4000,0.5500542500000001,0.016480975282124534,0.534281,0.56564,0.0,0.0,0.0,0.0
4100,0.5599195000000001,0.01564379085558655,0.549278,0.582999,0.0,0.0,0.0,0.0
4200,0.54365075,0.012252406304477501,0.532211,0.555512,0.0,0.0,0.0,0.0
4300,0.54882525,0.01888206546567402,0.524032,0.569593,0.0,0.0,0.0,0.0
4400,0.5521665,0.01322939707620873,0.535149,0.565168,0.0,0.0,0.0,0.0
4500,0.53729025,0.009903630256123223,0.523144,0.545917,0.0,0.0,0.0,0.0
4600,0.54560225,0.01839393790310636,0.521467,0.561636,0.0,0.0,0.0,0.0
4700,0.5549575,0.015555963283148589,0.539105,0.574348,0.0,0.0,0.0,0.0
4800,0.5395905,0.007506490058609303,0.529959,0.546725,0.0,0.0,0.0,0.0
4900,0.54936725,0.01280552795670681,0.532049,0.562128,0.0,0.0,0.0,0.0
5000,0.5533965,0.0165157145874265,0.530197,0.568835,0.0,0.0,0.0,0.0
5100,0.5421975,0.0118075442690962,0.533808,0.559317,0.0,0.0,0.0,0.0
5200,0.54309425,0.014840747181886334,0.528785,0.559454,0.0,0.0,0.0,0.0
5300,0.54817275,0.01518869053769943,0.533285,0.568859,0.0,0.0,0.0,0.0
5400,0.533924,0.020064067600231685,0.51269,0.560577,0.0,0.0,0.0,0.0
5500,0.54450475,0.024919142633391997,0.512084,0.572625,0.0,0.0,0.0,0.0
5600,0.56424625,0.017742088065294523,0.545177,0.581077,0.0,0.0,0.0,0.0
5700,0.548166,0.013108846504047051,0.532912,0.561135,0.0,0.0,0.0,0.0
5800,0.55357175,0.007550166107444262,0.544606,0.562864,0.0,0.0,0.0,0.0
5900,0.5573207499999999,0.010345222129885187,0.541806,0.56278,0.0,0.0,0.0,0.0
6000,0.5395887500000001,0.01402973837662938,0.527303,0.553111,0.0,0.0,0.0,0.0
6100,0.54891075,0.012156375868242957,0.536608,0.564676,0.0,0.0,0.0,0.0
6200,0.54940675,0.009885698032174213,0.540597,0.558165,0.0,0.0,0.0,0.0
6300,0.538247,0.015438235240251164,0.521227,0.556596,0.0,0.0,0.0,0.0
6400,0.5445850000000001,0.014719445687026824,0.530024,0.559998,0.0,0.0,0.0,0.0
6500,0.5494315,0.012041612917988507,0.532476,0.559057,0.0,0.0,0.0,0.0
6600,0.5437395,0.015105533125315351,0.52434,0.558797,0.0,0.0,0.0,0.0
6700,0.546671,0.017170354956532886,0.523416,0.564816,0.0,0.0,0.0,0.0
6800,0.56713175,0.021769506568822365,0.536567,0.5865,0.0,0.0,0.0,0.0
6900,0.544415,0.022412540552110564,0.519914,0.567401,0.0,0.0,0.0,0.0
7000,0.552546,0.013125015377768747,0.535823,0.567538,0.0,0.0,0.0,0.0
7100,0.555984,0.019138291738466796,0.532904,0.579678,0.0,0.0,0.0,0.0
7200,0.5439332499999999,0.02026994284443513,0.515528,0.562759,0.0,0.0,0.0,0.0
7300,0.54703775,0.01904363474366174,0.525616,0.565829,0.0,0.0,0.0,0.0
7400,0.557191,0.029536697344151392,0.526515,0.593193,0.0,0.0,0.0,0.0
7500,0.5454927500000001,0.02327112970148491,0.522363,0.566235,0.0,0.0,0.0,0.0
7600,0.5484977499999999,0.023971321370546077,0.522378,0.578154,0.0,0.0,0.0,0.0
7700,0.55608125,0.02221032017441442,0.528072,0.5816,0.0,0.0,0.0,0.0
7800,0.5359055,0.021120364872163847,0.512283,0.560709,0.0,0.0,0.0,0.0
7900,0.54872325,0.02973862674900551,0.518472,0.576746,0.0,0.0,0.0,0.0
8000,0.55276375,0.018636842621985825,0.531126,0.570022,0.0,0.0,0.0,0.0
8100,0.5362232499999999,0.02072467545986349,0.510454,0.557266,0.0,0.0,0.0,0.0
8200,0.55200525,0.016731315337314822,0.52912,0.569253,0.0,0.0,0.0,0.0
8300,0.5533545,0.01319130522983479,0.536331,0.567619,0.0,0.0,0.0,0.0
8400,0.53927975,0.024480638041453624,0.51088,0.566673,0.0,0.0,0.0,0.0
8500,0.545141,0.02772726183139379,0.512102,0.570251,0.0,0.0,0.0,0.0
8600,0.561606,0.019584060627629424,0.540181,0.582347,0.0,0.0,0.0,0.0
8700,0.54758225,0.026213930423536227,0.517812,0.576449,0.0,0.0,0.0,0.0
8800,0.5469597500000001,0.024088545498846536,0.518216,0.571747,0.0,0.0,0.0,0.0
8900,0.5501912499999999,0.021405002022502458,0.530813,0.577362,0.0,0.0,0.0,0.0
9000,0.5379512500000001,0.00734832721894355,0.526942,0.542123,0.0,0.0,0.0,0.0
9100,0.54480575,0.015509958443421627,0.522445,0.555762,0.0,0.0,0.0,0.0
9200,0.55093675,0.01499185882126249,0.532537,0.563831,0.0,0.0,0.0,0.0
9300,0.541339,0.010113352230261406,0.526427,0.547635,0.0,0.0,0.0,0.0
9400,0.5456172499999999,0.023634847808197704,0.519029,0.576396,0.0,0.0,0.0,0.0
9500,0.5660235,0.027994033108265502,0.529306,0.591324,0.0,0.0,0.0,0.0
9600,0.55150075,0.019500392583655005,0.524833,0.570211,0.0,0.0,0.0,0.0
9700,0.5522755,0.022320187656021177,0.523305,0.576817,0.0,0.0,0.0,0.0
9800,0.55527075,0.021794444634279327,0.527127,0.579968,0.0,0.0,0.0,0.0
9900,0.54333175,0.021710776039791834,0.515784,0.565222,0.0,0.0,0.0,0.0
10000,0.54315125,0.020589893093052515,0.514569,0.559753,0.0,0.0,0.0,0.0
10100,0.548355,0.015376791581254323,0.529153,0.566288,0.0,0.0,0.0,0.0
10200,0.5447457499999999,0.014777927310124837,0.524295,0.559252,0.0,0.0,0.0,0.0
10300,0.5366175,0.022283150368234146,0.506509,0.559145,0.0,0.0,0.0,0.0
10400,0.5437192500000001,0.020985900876143798,0.51448,0.56422,0.0,0.0,0.0,0.0
10500,0.54080475,0.02680538358085305,0.502492,0.564579,0.0,0.0,0.0,0.0
10600,0.5544705000000001,0.013531753039918088,0.540464,0.567193,0.0,0.0,0.0,0.0
10700,0.5531255,0.011538030811191313,0.53944,0.567671,0.0,0.0,0.0,0.0
10800,0.53830925,0.01210229334671742,0.523963,0.551647,0.0,0.0,0.0,0.0
10900,0.55484975,0.01167375604721976,0.543842,0.566486,0.0,0.0,0.0,0.0
11000,0.5568452500000001,0.025339637439855622,0.527471,0.579861,0.0,0.0,0.0,0.0
11100,0.5424159999999999,0.007982367986172174,0.531493,0.550653,0.0,0.0,0.0,0.0
11200,0.542461,0.022691631276750467,0.518022,0.56863,0.0,0.0,0.0,0.0
11300,0.54055675,0.004675048047881442,0.535704,0.54571,0.0,0.0,0.0,0.0
11400,0.52657825,0.007834938050169904,0.521502,0.538155,0.0,0.0,0.0,0.0
11500,0.54549075,0.008180927876266047,0.540064,0.557442,0.0,0.0,0.0,0.0
11600,0.5491222499999999,0.016759919537893554,0.529872,0.57002,0.0,0.0,0.0,0.0
11700,0.5397795000000001,0.014278933725363856,0.521833,0.556774,0.0,0.0,0.0,0.0
11800,0.542789,0.00875272852696043,0.537458,0.555771,0.0,0.0,0.0,0.0
11900,0.5449845,0.015168097452658092,0.524455,0.559769,0.0,0.0,0.0,0.0
12000,0.540028,0.015055111800758343,0.519989,0.555965,0.0,0.0,0.0,0.0
12100,0.5451915,0.016925112259598172,0.52783,0.568428,0.0,0.0,0.0,0.0
12200,0.5496142500000001,0.013480205151134246,0.538264,0.568035,0.0,0.0,0.0,0.0
12300,0.54317925,0.005686072362946719,0.537891,0.549831,0.0,0.0,0.0,0.0
12400,0.55643825,0.022516218027235392,0.534219,0.580688,0.0,0.0,0.0,0.0
12500,0.55959725,0.009934643639809127,0.546501,0.569874,0.0,0.0,0.0,0.0
12600,0.5485225,0.011701853770521416,0.536101,0.560512,0.0,0.0,0.0,0.0
12700,0.5508912499999999,0.011698089170886005,0.53591,0.562976,0.0,0.0,0.0,0.0
12800,0.5596857500000001,0.010017907278967994,0.554029,0.574685,0.0,0.0,0.0,0.0
12900,0.5381779999999999,0.00884133440154822,0.527328,0.548918,0.0,0.0,0.0,0.0
13000,0.5506815,0.010035322333305145,0.540284,0.564236,0.0,0.0,0.0,0.0
13100,0.55749325,0.01593974588620113,0.543155,0.573825,0.0,0.0,0.0,0.0
13200,0.54490525,0.004225300886721942,0.539648,0.548978,0.0,0.0,0.0,0.0
13300,0.5533872500000001,0.012533523590089659,0.541071,0.570652,0.0,0.0,0.0,0.0
13400,0.55269625,0.010886047564811293,0.54303,0.568131,0.0,0.0,0.0,0.0
13500,0.541863,0.0119337036441612,0.528021,0.552673,0.0,0.0,0.0,0.0
13600,0.54639225,0.019470709101536768,0.524232,0.565073,0.0,0.0,0.0,0.0
13700,0.5618045,0.019247117022210516,0.539556,0.581834,0.0,0.0,0.0,0.0
13800,0.54927625,0.012004568612962866,0.538025,0.560883,0.0,0.0,0.0,0.0
13900,0.55600175,0.012783945540533758,0.542899,0.573337,0.0,0.0,0.0,0.0
14000,0.562611,0.027078939737983344,0.530546,0.59102,0.0,0.0,0.0,0.0
14100,0.5468215000000001,0.021334702161814493,0.528086,0.569345,0.0,0.0,0.0,0.0
14200,0.5514275,0.018576406299389545,0.528394,0.571412,0.0,0.0,0.0,0.0
14300,0.5560102499999999,0.020799668384776388,0.537735,0.585787,0.0,0.0,0.0,0.0
14400,0.53842125,0.012730236902089955,0.52514,0.553562,0.0,0.0,0.0,0.0
14500,0.5434875,0.014849183243532302,0.526544,0.562413,0.0,0.0,0.0,0.0
14600,0.54796575,0.019684780506353985,0.519292,0.563543,0.0,0.0,0.0,0.0
14700,0.53777425,0.012739999408032441,0.525667,0.550942,0.0,0.0,0.0,0.0
14800,0.55161775,0.01219755757996932,0.536013,0.565118,0.0,0.0,0.0,0.0
14900,0.55964475,0.009916598891925263,0.547211,0.57116,0.0,0.0,0.0,0.0
15000,0.54190825,0.016599415720139062,0.519757,0.557385,0.0,0.0,0.0,0.0
15100,0.545335,0.022000145014673605,0.519585,0.57257,0.0,0.0,0.0,0.0
15200,0.5469025000000001,0.02618236906138684,0.524446,0.575341,0.0,0.0,0.0,0.0
15300,0.5367672499999999,0.01727959907665685,0.518239,0.553045,0.0,0.0,0.0,0.0
15400,0.54532675,0.020100364613193766,0.520449,0.566457,0.0,0.0,0.0,0.0
15500,0.55195275,0.010836453182814624,0.538015,0.564481,0.0,0.0,0.0,0.0
15600,0.5432045000000001,0.011999748733480474,0.528696,0.556466,0.0,0.0,0.0,0.0
15700,0.55189475,0.022878639868882045,0.520884,0.573884,0.0,0.0,0.0,0.0
15800,0.5621050000000001,0.02382128178751089,0.53151,0.586602,0.0,0.0,0.0,0.0
15900,0.543924,0.023569325022155394,0.513848,0.570101,0.0,0.0,0.0,0.0
16000,0.54869925,0.02258072909031061,0.52272,0.571166,0.0,0.0,0.0,0.0
16100,0.55286825,0.018242585094132516,0.531312,0.57578,0.0,0.0,0.0,0.0
16200,0.5436812500000001,0.024934431192964235,0.515227,0.57249,0.0,0.0,0.0,0.0
16300,0.551485,0.02120961668677679,0.525713,0.574781,0.0,0.0,0.0,0.0
16400,0.554133,0.025614463193021773,0.525689,0.57984,0.0,0.0,0.0,0.0
16500,0.5424415,0.0126507573027599,0.531645,0.558612,0.0,0.0,0.0,0.0
16600,0.5397284999999999,0.018419471174095464,0.519725,0.557983,0.0,0.0,0.0,0.0
16700,0.55954275,0.022652254153836423,0.535654,0.586957,0.0,0.0,0.0,0.0
16800,0.54177125,0.006278900454431997,0.533294,0.548191,0.0,0.0,0.0,0.0
16900,0.5596637499999999,0.012207591336950954,0.541531,0.567893,0.0,0.0,0.0,0.0
17000,0.56350875,0.014829615130429599,0.543779,0.579762,0.0,0.0,0.0,0.0
17100,0.55148725,0.01201362039173316,0.534677,0.563209,0.0,0.0,0.0,0.0
17200,0.55047225,0.01050011870964645,0.535777,0.55815,0.0,0.0,0.0,0.0
