tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
0,0.000000,0.00
5,0.735409,0.00
10,0.729681,0.00
15,0.737626,0.00
20,0.737026,0.00
25,0.745640,0.00
30,0.744034,0.00
35,0.744632,0.00
40,0.741923,0.00
45,0.741892,0.00
50,0.744155,0.00
55,0.744846,0.00
60,0.743878,0.00
65,0.745002,0.00
70,0.744530,0.00
75,0.745453,0.00
80,0.745888,0.00
85,0.745924,0.00
90,0.746336,0.00
95,0.747600,0.00
100,0.748075,0.00
105,0.752234,0.00
110,0.751591,0.00
115,0.751379,0.00
120,0.751525,0.00
125,0.758848,0.00
130,0.758346,0.00
135,0.757113,0.00
140,0.757344,0.00
145,0.755260,0.00
150,0.754264,0.00
155,0.753372,0.00
160,0.752867,0.00
165,0.751754,0.00
170,0.752264,0.00
175,0.752567,0.00
180,0.752092,0.00
185,0.756909,0.00
190,0.755110,0.00
195,0.755640,0.00
200,0.754925,0.00
205,0.753361,0.00
210,0.753973,0.00
215,0.754790,0.00
220,0.754175,0.00
225,0.753361,0.00
230,0.752998,0.00
235,0.752503,0.00
240,0.751677,0.00
245,0.759561,0.00
250,0.757512,0.00
255,0.756443,0.00
260,0.757272,0.00
265,0.756852,0.00
270,0.755434,0.00
275,0.754930,0.00
280,0.754930,0.00
285,0.754345,0.00
290,0.754674,0.00
295,0.754075,0.00
300,0.754572,0.00
305,0.760143,0.00
310,0.758659,0.00
315,0.757819,0.00
320,0.757819,0.00
325,0.757326,0.00
330,0.757719,0.00
335,0.757576,0.00
340,0.756908,0.00
345,0.756808,0.00
350,0.756364,0.00
355,0.755721,0.00
360,0.755129,0.00
365,0.761385,0.00
370,0.759576,0.00
375,0.759657,0.00
380,0.758672,0.00
385,0.758945,0.00
390,0.758396,0.00
395,0.758533,0.00
400,0.758317,0.00
405,0.757562,0.00
410,0.757204,0.00
415,0.755629,0.00
420,0.756177,0.00
425,0.757774,0.00
430,0.755589,0.00
435,0.755156,0.00
440,0.755383,0.00
445,0.755670,0.00
450,0.755516,0.00
455,0.755466,0.00
460,0.754599,0.00
465,0.754475,0.00
470,0.753930,0.00
475,0.753602,0.00
480,0.754058,0.00
485,0.754335,0.00
490,0.754489,0.00
495,0.754628,0.00
500,0.754626,0.00
505,0.754766,0.00
510,0.754648,0.00
515,0.754555,0.00
520,0.754846,0.00
525,0.755225,0.00
530,0.754572,0.00
535,0.754522,0.00
540,0.754522,0.00
545,0.755987,0.00
550,0.756205,0.00
555,0.756205,0.00
560,0.756333,0.00
565,0.756335,0.00
570,0.756117,0.00
575,0.755052,0.00
580,0.754348,0.00
585,0.753998,0.00
590,0.754010,0.00
595,0.754586,0.00
600,0.754888,0.00
605,0.756966,0.00
610,0.756148,0.00
615,0.756560,0.00
620,0.757358,0.00
625,0.757306,0.00
630,0.757121,0.00
635,0.757123,0.00
640,0.757244,0.00
645,0.757244,0.00
650,0.756818,0.00
655,0.756494,0.00
660,0.755964,0.00
665,0.757463,0.00
670,0.757284,0.00
675,0.757229,0.00
680,0.757229,0.00
685,0.755029,0.00
690,0.754722,0.00
695,0.754502,0.00
700,0.754343,0.00
705,0.754038,0.00
710,0.754038,0.00
715,0.753481,0.00
720,0.752944,0.00
725,0.756861,0.00
730,0.757231,0.00
735,0.757344,0.00
740,0.757029,0.00
745,0.755806,0.00
750,0.754851,0.00
755,0.754246,0.00
760,0.753219,0.00
765,0.753385,0.00
770,0.753318,0.00
775,0.753389,0.00
780,0.753287,0.00
785,0.754605,0.00
790,0.755993,0.00
795,0.755697,0.00
800,0.755753,0.00
805,0.755475,0.00
810,0.754684,0.00
815,0.754659,0.00
820,0.755103,0.00
825,0.756587,0.00
830,0.757417,0.00
835,0.756844,0.00
840,0.756672,0.00
845,0.757110,0.00
850,0.755838,0.00
855,0.755290,0.00
860,0.754919,0.00
865,0.754919,0.00
870,0.755603,0.00
875,0.755885,0.00
880,0.755212,0.00
885,0.755212,0.00
890,0.755225,0.00
895,0.755807,0.00
900,0.753763,0.00
905,0.756314,0.00
910,0.756212,0.00
915,0.756034,0.00
920,0.756203,0.00
925,0.756480,0.00
930,0.756690,0.00
935,0.756213,0.00
940,0.755553,0.00
945,0.755918,0.00
950,0.755751,0.00
955,0.755742,0.00
960,0.755491,0.00
965,0.759767,0.00
970,0.759697,0.00
975,0.758899,0.00
980,0.757895,0.00
985,0.757535,0.00
990,0.757415,0.00
995,0.757011,0.00
1000,0.755610,0.00
